beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Barrel Aged Baltic Porter,The Duck-Rabbit Craft Brewery,4.4,"#1,169",8,41,10%,31,2,0,North Carolina,Baltic Porter,9.00%,Rotating,"
No notes at this time."
Triple Crush,Reuben's Brews,4.31,"#4,674",1,14,6.03%,0,1,0,Washington,American Imperial IPA,10.00%,Rotating,"
No notes at this time."
Tart Strawberry M-43,Old Nation Brewing Co.,4.39,-,12,36,4.78%,8,4,1,Michigan,New England IPA,6.80%,Limited (brewed once),"
No notes at this time."
Threat Level Purple,Mispillion River Brewing,4.04,"#10,538",6,19,5.69%,5,0,0,Delaware,American Imperial IPA,11.00%,Rotating,"
No notes at this time."
Konomi Nante Kiitenaize SORRY Yuzu Session Ale,Yo-Ho Brewing Company,3.92,"#17,566",5,11,10.2%,0,2,0,Japan,Fruit and Field Beer,4.00%,Rotating,"
Ale brewed with salt, yuzu peel, and yuzu juice."
SPON 5,Jester King Brewery,4.37,-,2,14,5.03%,1,2,0,Texas,Belgian Lambic,5.80%,Limited (brewed once),"
No notes at this time."
Peanut Butter Chocolate Stout,Pipe Dream Brewing,4.36,"#3,628",7,15,11.01%,3,7,0,New Hampshire,American Imperial Stout,10.00%,Rotating,"
No notes at this time."
Hopathon IPA,Hop Nuts Brewing,3.82,"#21,218",2,17,7.07%,0,2,0,Nevada,American IPA,7.00%,Rotating,"
No notes at this time."
Stickee Monkee,Firestone Walker Brewing Co.,4.47,#202,377,"2,811",8.05%,642,"1,221",111,California,Belgian Quadrupel (Quad),12.50%,Rotating,"
It has been said that the only constant is change and the same is true for barrel-aged beers. Cut from a similar recipe, this barrel-aged Quad evolves and shows a different face each year; a result of time spent aging in the barrel. Turbinado brown sugar from Mexico adds wonderful molasses flavors that are reminiscent of Belgian candi sugar. It has a full body and lush texture with barrel expression all over; toasted oak, coconut, leather and rich cigar tobacco."
Solstice D'hiver Réserve Spéciale En Fût De Bourbon,Brasserie Dieu du Ciel!,4.18,"#2,998",37,120,8.37%,47,23,2,Quebec,American Barleywine,10.80%,Rotating,"
2009 vintage: 67.5% aged in Utopias barrels, 22.5% aged in bourbon barrels, 10% fresh beer."
Maracujipa,2cabeças,3.53,"#34,447",2,17,11.61%,0,2,0,Brazil,American IPA,6.80%,Year-round,"
Maracujipa is a citrous IPA. Old news, right? But instead of dry hopping, we add passion fruit into it, creating a hoppy and bitter fruit beer."
Holy Citra DIPA,Stumptown Ales,4.42,"#4,388",1,10,7.69%,1,2,0,West Virginia,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Oak Aged Yeti Imperial Stout,Great Divide Brewing Company,4.26,"#1,316","1,682","4,621",9.62%,371,984,35,Colorado,American Imperial Stout,9.50%,Year-round,"
Imperial stout aged on new French and American oak chips."
Houblon Chouffe Dobbelen IPA Tripel,Brasserie d'Achouffe,4.2,"#2,053","1,217","2,793",10.48%,215,446,3,Belgium,Belgian IPA,9.00%,Rotating,"
The gnomes of Fairyland may be little, but they have big, very big, personalities. HOUBLON CHOUFFE matches their impish spirits. All gnomes, with their innate good taste, are in full agreement about HOUBLON CHOUFFE, which is flavoured by three different types of hops. This India Pale Ale is appreciated for its pronounced bitterness combined with the fruity tones of traditional Achouffe beers: it softens the strongest of characters."
Titan IPA,Great Divide Brewing Company,4.06,"#5,309","1,480","4,260",11.58%,241,802,3,Colorado,American IPA,7.10%,Year-round,"
No notes at this time."
Ghost Bridge Imperial Stout,Singin' River Brewing Co.,3.88,"#19,184",5,11,4.38%,0,4,0,Alabama,Russian Imperial Stout,8.10%,Winter,"
Intense, black ale with a rich, fruity nose. Aromas of black currant, prune, and coffee. Rich, smooth body with a sweet malt palate, fruity, toffee, and coffee-like flavors and a balanced finish. A bold, rich ale for sipping and savoring. Brewed with a blend of American, British and German malts, Apollo hops and a classic British ale yeast. 22 degrees Plato, 8.1% ABV, 60 IBU"
Day Of The Dead Beer (Cerveza De Los Muertos) Death Rides A Pale Horse,Cerveceria Mexicana S.A. De C.V.,3.23,"#42,685",25,131,16.41%,4,19,0,Mexico,American Blonde Ale,5.60%,Rotating,"
No notes at this time."
Isabelle,Big Oyster Brewery,4.07,-,4,12,3.19%,1,0,0,Delaware,American Wild Ale,5.00%,Rotating,"
No notes at this time."
Kapuziner Weissbier,Kulmbacher Brauerei AG,4.03,"#6,563",292,543,10.92%,63,65,0,Germany,German Hefeweizen,5.40%,Year-round,"
No notes at this time."
White Bicycles,Right Proper Brewing Company - Shaw Brewpub,3.93,"#15,634",2,17,10.43%,0,3,1,District of Columbia,Belgian Witbier,4.30%,Rotating,"
Herbal, Funk, Candied Lime. Brewed with black limes and Mandarina Bavaria hops and fermented in 45 hl French oak foeders with our house mixed culture of wild yeasts. Brettanomyces employed in the fermentation process produce a delightfully refreshing take on a traditional wheat beer."
Ching Ching,Bend Brewing Company,4.22,"#2,025",33,222,8.06%,49,24,6,Oregon,Berliner Weisse,4.50%,Rotating,"
No notes at this time."
Barrel God,Lupulin Brewing,4.32,"#4,000",5,16,9.72%,0,0,0,Minnesota,American Imperial Stout,13.00%,Rotating,"
No notes at this time."
Barrel-Aged Henna - Vanilla Caviar,More Brewing Co.,4.43,-,8,34,7.22%,11,7,2,Illinois,American Imperial Stout,14.30%,Limited (brewed once),"
Rye whiskey barrel-aged vanilla imperial stout"
Jopen Northsea IPA,Jopen Bier BV Haarlem,3.97,"#10,490",13,68,10.08%,2,23,0,Netherlands,American IPA,6.50%,Year-round,"
Also known as Jopen Mooie Nel"
Hitachino Nest Anbai Ale,Kiuchi Brewery,3.89,"#14,318",34,179,10.28%,13,20,0,Japan,Leipzig Gose,7.00%,Rotating,"
Anbai literally means “Salty Plum” and the word is also used to describe the stat of taste and flavor. Ii Anbai means “just right”!"
Zero-Zero,Calusa Brewing,4.45,"#1,527",6,23,6.07%,4,2,0,Florida,American Imperial IPA,8.00%,Rotating,"
North east style Double IPA, brewed with 100% Mosaic hops. ""Zero-Zero"" is a meteorological term for zero visibility, which perfectly describes this DIPA."
In Absentia,Brick & Feather Brewery,4.47,#488,14,61,6.04%,18,15,0,Massachusetts,American IPA,7.00%,Year-round,"
No notes at this time."
Jenlain Ambrée,Brasserie Duyck,3.74,"#25,817",213,317,13.64%,18,20,0,France,French Bière de Garde,7.50%,Year-round,"
No notes at this time."
Bourbon Barrel Timmie,Sun King Brewing Company,4.28,"#1,922",11,62,7.24%,14,11,1,Indiana,Russian Imperial Stout,10.00%,Rotating,"
No notes at this time."
Reach Around IPA,Mispillion River Brewing,3.73,"#26,444",35,160,10.99%,5,38,0,Delaware,American IPA,6.00%,Year-round,"
Reach Around IPA is a very sessionable, easy drinking India Pale Ale. This beer boasts a huge hop flavor with a medium level of bitterness at 35 IBUs, and showcases copious amounts of Cascade, Columbus, and Nugget hops. Let’s face it, everyone loves a Reach Around."
Dare Mighty Things - Citra,The Brewing Projekt,4.42,"#1,080",11,38,6.33%,1,2,0,Wisconsin,American IPA,6.40%,Rotating,"
No notes at this time."
Imaginary Friends,Prairie Artisan Ales,4.07,"#5,633",46,147,6.88%,2,22,0,Oklahoma,American IPA,7.00%,Rotating,"
No notes at this time."
Lilikoi Ale,Kauai Island Brewery & Grill,3.46,"#35,147",2,11,8.67%,0,0,0,Hawaii,American Blonde Ale,5.00%,Rotating,"
No notes at this time."
De-Railed IPA,Carter's Brewing,4.25,"#3,835",6,25,11.06%,3,4,0,Montana,American IPA,6.50%,Year-round,"
Our best selling beer boasts a massive hop profile and rich English malts for a very balanced drinkable IPA."
Double Bastard Ale,Arrogant Consortia,4.26,"#1,311","2,133","6,778",10.8%,526,"1,429",36,California,American Strong Ale,11.00%,Rotating,"
First release: November 1998"
Pumpkin Ale,Whole Hog Beer,4.14,"#3,263",150,702,12.56%,104,157,0,Wisconsin,Pumpkin Beer,7.00%,Fall,"
No notes at this time."
Advanced Oak Theory,Casey Brewing & Blending,4.36,#920,6,92,5.96%,58,14,0,Colorado,American Wild Ale,5.00%,Rotating,"
Oak Theory is our Belgian-style sour. Advanced Oak Theory is the same beer fermented and aged in “exotic” barrels, that is something that isn’t neutral oak like the standard version."
Faust Hefeweizen Dunkel,Brauhaus Faust-Miltenberger,4.09,"#8,599",12,20,17.11%,12,6,0,Germany,German Dunkelweizen,5.20%,Year-round,"
No notes at this time."
The Centennial IPA,Flathead Lake Brewing Company,3.81,"#20,840",10,45,12.86%,0,12,0,Montana,American IPA,7.30%,Year-round,"
No notes at this time."
Infinite Sadness - Barrel Aged,Country Boy Brewing,4.05,"#9,105",4,26,8.64%,0,1,0,Kentucky,American Black Ale,13.00%,Rotating,"
No notes at this time."
King Size,Junkyard Brewing Company,4.44,"#3,124",3,13,4.95%,0,0,0,Minnesota,American Imperial Stout,11.30%,Rotating,"
No notes at this time."
Even Mo Money,Sand City Brewing Co.,4.46,-,4,15,2.69%,1,2,0,New York,American Imperial IPA,8.50%,Limited (brewed once),"
Brewed in collaboration with Barrier Brewing. "
Gnight Ryder,Against The Grain Brewery & Smokehouse,4.1,"#7,214",8,28,6.1%,3,7,0,Kentucky,American Black Ale,9.00%,Rotating,"
Black Ale aged in Pinot Noir Barrels"
Galacticon,Foundation Brewing Company,4.24,-,3,18,8.96%,1,3,0,Maine,American Imperial IPA,9.40%,Rotating,"
No notes at this time."
Fantapants,Feral Brewing Co.,4.12,"#9,129",8,14,8.74%,0,1,0,Australia,American Amber / Red Ale,7.40%,Rotating,"
Fantapants is offensively bitter (like most redheads!) but begins slightly sweet, with an aroma of passionfruit and pineapple. The finish is full-bodied with a hint of biscuity malt."
Poperings Hommel Bier,Leroy Breweries,4.03,"#6,495",418,831,11.41%,57,86,1,Belgium,Belgian IPA,7.50%,Year-round,"
Hommel beer brewed with Hallertau and East Kent Goldings hops from Belgium’s hop growing region"
Koko Buni,Creature Comforts,4.24,"#1,768",39,228,8.02%,49,68,2,Georgia,American Porter,6.80%,Winter,"
No notes at this time."
Nautilus,Omnipollo,4.04,"#6,704",33,149,8.17%,8,31,2,Sweden,American Wild Ale,4.50%,Rotating,"
Sour ale brewed with blueberry, vanilla and lactose sugar."
Dominus Vobiscum Blanche,Microbrasserie Charlevoix,4.09,"#4,928",84,159,9.05%,39,22,0,Quebec,Belgian Witbier,5.00%,Year-round,"
No notes at this time."
La Boheme,Perennial Artisan Ales,4.14,"#3,633",16,161,9.42%,57,17,1,Missouri,Flanders Oud Bruin,6.00%,Fall,"
Flanders-style brown aged in wine barrels with tart cherries."
Trillium / Other Half - All Hundred Thousand Trillion Everything,Trillium Brewing Company,4.4,-,5,66,6.59%,3,8,0,Massachusetts,American Imperial IPA,9.80%,Limited (brewed once),"
All of the Trillions! Our friends from Other Half came to town for the third iteration of our collab series, and we came out of it with All Hundred Thousand Trillion Everything Triple IPA. Everything Galaxy, everything we love in massively flavorful hoppy beer."
Brainless Belgian-Style Golden Ale,Epic Brewing Company,3.78,"#22,665",65,211,10.58%,9,24,0,Utah,Belgian Strong Pale Ale,8.70%,Rotating,"
Brainless Belgian-Style Golden Ale is has a rich and complex malt flavor balanced with a little bit of spicy noble hops and strong influences of fermentation esters from the Belgian yeast used. Various Belgian like Rock Candies, hops and grains are employed to express variations within the style. Deceivingly drinkable, some liken theses ales to Devil sneaking up on you, so consume responsibly."
Miller High Life,Miller Brewing Co.,2.69,"#44,636","1,196","3,917",29%,54,991,1,Wisconsin,American Adjunct Lager,4.60%,Year-round,"
Miller High Life, also known as the Champagne of Beers, is a quintessentially classic, American-style lager. In 1903, Frederick Miller created Miller High Life because he believed that the good life, the High Life, should be accessible to everyone, not just the upper crust. To this day, Miller High Life continues to be faithfully brewed as a golden pilsner, utilizing light-stable galena hops from the Pacific Northwest and a select combination of malted barley."
Tucher Bajuvator Doppelbock,Brauerei Tucher Brau,4.1,"#4,392",191,255,10.98%,64,18,0,Germany,German Doppelbock,7.20%,Year-round,"
No notes at this time."
Cultrider Imperial Black IPA,Hoof Hearted Brewing,4.23,"#2,194",21,106,6.62%,8,13,1,Ohio,American Black Ale,11.50%,Rotating,"
No notes at this time."
The Fruits Of Our Labor - Boysenberry,Burley Oak Brewing Co.,4.2,"#7,728",1,12,3.57%,0,2,0,Maryland,American Wild Ale,4.40%,Rotating,"
No notes at this time."
Delusions Of Grandeur,Foundation Brewing Company,4.22,"#5,148",1,20,6.16%,5,1,0,Maine,American Imperial IPA,8.50%,Rotating,"
Brett fermented double IPA"
Feierling Inselhopf,Hausbrauerei Feierling,4.4,"#2,898",6,16,12.73%,8,2,0,Germany,German Maibock,5.00%,Year-round,"
No notes at this time."
Cantillon Rosé De Gambrinus,Brasserie Cantillon,4.32,#804,770,"2,432",9.49%,514,634,60,Belgium,Belgian Fruit Lambic,5.00%,Year-round,"
""It has the colour of onion skin"", said a voice behind me. It was Raymond Coumans. He was admiring the colour of the raspberry lambic reflecting in the red copper of the buckets used to empty the barrels. At that time (1986), ""Raspberry-Lambic"" already was synonymous with a sweet, artificially flavoured beer. This is why we decided to distinguish our beer from the other raspberry beers. Raymond proposed to call it a rosé, dedicated not to Bacchus but to Gambrinus."
Mahr's Hell,Mahr's Bräu,3.96,"#10,194",81,161,10.86%,23,9,0,Germany,German Helles,4.90%,Year-round,"
Beer sensory characteristics: A creamy, compact head crowns the glass. Brilliant, delicately pearled with bubbles, and golden yellow; it captivates the eye of the true connoisseur. The aroma is lightly reminiscent of flowering hops. The body is pure, mild, discretely aromatic, coupled with a slight sweetness. The finish is soft, with a hint of maltiness. A lager that awakens the desire to drink it again and again. Mahrs Bräu Hell pairing recommendation: to cooked or fried fish dishes, salads, mild cheeses, stews."
Bright - Citra,Tree House Brewing Company,4.43,#307,90,639,6.09%,28,165,2,Massachusetts,American Imperial IPA,7.80%,Rotating,"
This batch of Bright was created to be a clean and elegant showcase for a notoriously delicious hop - Citra! It is crafted with a simple malt bill and fermented with clean American Ale yeast to create a flavor profile that is more a function of its vibrant fresh ingredients than an expression of yeast character. Bright w/Citra’s aroma is a citrus explosion. The taste follows suit with notes of orange juice, grapefruit, and tangerine with a gentle finish. She is dry, soft, and adequately bittered resulting in a very approachable and thirst quenching"
Bosque IPA,Bosque Brewing Co.,3.93,"#12,727",17,61,10.18%,1,17,0,New Mexico,American IPA,6.50%,Rotating,"
Formerly known as Riverwalker"
Salvator Doppel Bock,Paulaner Brauerei GmbH & Co. KG,3.92,"#11,863","1,401","2,835",11.73%,92,464,2,Germany,German Doppelbock,7.90%,Year-round,"
This unfiltered bottom fermented double bock beer has been brewed for over 375 years--always adhering to the original recipe. The taste is unmistakable, with its smooth chocolate flavor, robust dark caramel maltiness and a light note of hops--providing a nice intensity on the palate."
Cascade Kriek Ale,Cascade Brewing / Raccoon Lodge & Brewpub,4.23,"#1,679",298,"1,176",8.27%,254,351,37,Oregon,Flanders Red Ale,8.20%,Rotating,"
This NW style sour red ale is blend of red ales aged in oak barrels for up to eight months, then aged on fresh Bing and sour pie cherries for an additional eight months. Aromas of rich, dark cherries, oak and slight hints of cinnamon are noticed up front. Dark, tart cherries and light spice notes dance on the palate and lead to a rich, dark, tart sparkling finish of dark cherries and oak."
Hitachino Nest Red Rice Ale,Kiuchi Brewery,3.7,"#28,846",339,742,14.59%,45,126,0,Japan,Belgian Strong Pale Ale,7.00%,Year-round,"
No notes at this time."
Koko Brown,Kona Brewing Co.,3.62,"#34,067",348,"1,499",14.64%,52,219,1,Hawaii,American Brown Ale,5.50%,Winter,"
Koko Brown's distinctive, nutty aroma and flavor comes from real, toasted coconut blended into each brew. One sip of this smooth, mahogany colored ale and you'll feel like you're on a warm, sun drenched beach in Hawaii. Crack one open!"
Belgo Galaxy,Schilling Beer Co.,4.21,"#6,761",2,14,7.13%,0,0,0,New Hampshire,Belgian Pale Ale,4.80%,Rotating,"
No notes at this time."
Laurelwood Megafauna,Laurelwood Public House & Brewery,4.28,"#1,565",24,110,8.64%,16,13,0,Oregon,American Imperial IPA,9.50%,Rotating,"
No notes at this time."
Thunder Canyon Warhead Stout,Thunder Canyon Brewery,4,"#13,272",10,14,9.5%,2,0,0,Arizona,Russian Imperial Stout,11.50%,Rotating,"
Our imperial stout is intensely rich and malty with flavors of black currant, toffee and dark roasted grains."
SPON FRUIT — Raspberry & Cherry,Jester King Brewery,4.41,#746,10,68,4.99%,26,13,1,Texas,Belgian Fruit Lambic,5.40%,Rotating,"
2018 SPON Raspberry & Cherry is a blend of one, two and three year old 100% spontaneously fermented beer refermented with raspberries and cherries. For our 2018 blend, we selected two puncheons of SPON from 2014, two puncheons of SPON from 2015, and one 225 liter barrel of SPON from 2016. After creating the blend, we refermented it with 960 pounds of raspberries and 840 pounds of Balaton cherries. According to our HEAD BREWER AVERIE SWANSON, the cherry character of our 2018 blend is more prominent compared to our 2017 blend."
